selection_for,collection_key,id,name,start_utc,end_utc,date,anchor_offset_days,aoi_hits,content_bytes,content_gib,online,product_type,processing_level,platform,orbit_direction,relative_orbit,polarisation,tile_id,cloud_cover_pct,s3_path,download_url,md5
S1 R057 central-east repeat-track pre/near-anchor/post,S1_GRD,eaa2e750-fcc9-4911-8181-9e86811223c3,S1C_IW_GRDH_1SDV_20260214T141544_20260214T141609_006353_00CC6A_7374.SAFE,2026-02-14T14:15:44.313000Z,2026-02-14T14:16:09.311000Z,2026-02-14,-13.406,hormuz_core;jask_oil_terminal,1696981348,1.58,True,IW_GRDH_1S,LEVEL1,C,ASCENDING,57,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/14/S1C_IW_GRDH_1SDV_20260214T141544_20260214T141609_006353_00CC6A_7374.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(eaa2e750-fcc9-4911-8181-9e86811223c3)/$value,c4eb8219cd8f9355e3b42c85257c422f
S1 R057 central-east repeat-track pre/near-anchor/post,S1_GRD,ed9b0c55-7b5f-45bc-87ca-19091074eae0,S1C_IW_GRDH_1SDV_20260214T141609_20260214T141628_006353_00CC6A_906B.SAFE,2026-02-14T14:16:09.313000Z,2026-02-14T14:16:28.965000Z,2026-02-14,-13.405,bandar_abbas_rajaee;hormuz_core,1334810533,1.243,True,IW_GRDH_1S,LEVEL1,C,ASCENDING,57,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/14/S1C_IW_GRDH_1SDV_20260214T141609_20260214T141628_006353_00CC6A_906B.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(ed9b0c55-7b5f-45bc-87ca-19091074eae0)/$value,765873a768c8459d7f3644502fba09c2
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,b785686c-66ce-42a7-a3a4-e25ec7c6300d,S1A_IW_GRDH_1SDV_20260216T021444_20260216T021509_063238_07F08F_963E.SAFE,2026-02-16T02:14:44.685366Z,2026-02-16T02:15:09.683912Z,2026-02-16,-11.906,bandar_abbas_rajaee;hormuz_core,1729014991,1.61,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/16/S1A_IW_GRDH_1SDV_20260216T021444_20260216T021509_063238_07F08F_963E.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(b785686c-66ce-42a7-a3a4-e25ec7c6300d)/$value,85f5781fda717b896bba125b33a09104
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,8a763f59-316e-4b73-b563-df58fb17f094,S1A_IW_GRDH_1SDV_20260216T021509_20260216T021534_063238_07F08F_330A.SAFE,2026-02-16T02:15:09.685392Z,2026-02-16T02:15:34.683937Z,2026-02-16,-11.906,bandar_abbas_rajaee;hormuz_core;sirri_island,1728562029,1.61,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/16/S1A_IW_GRDH_1SDV_20260216T021509_20260216T021534_063238_07F08F_330A.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(8a763f59-316e-4b73-b563-df58fb17f094)/$value,2b8b05951de0d3aba02555d00b5d4bb1
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,a32a6798-71f1-486b-9a60-31ae6b1b37c3,S1A_IW_GRDH_1SDV_20260216T021534_20260216T021558_063238_07F08F_FCB6.SAFE,2026-02-16T02:15:34.685449Z,2026-02-16T02:15:58.013536Z,2026-02-16,-11.906,hormuz_core;sirri_island,1612739569,1.502,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/16/S1A_IW_GRDH_1SDV_20260216T021534_20260216T021558_063238_07F08F_FCB6.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(a32a6798-71f1-486b-9a60-31ae6b1b37c3)/$value,bf0c0570bab8d4dc3a04ce1453eacf0a
S1 R057 central-east repeat-track pre/near-anchor/post,S1_GRD,9f63a7fd-2d04-45c1-a50a-6bc9b60ca473,S1C_IW_GRDH_1SDV_20260226T141544_20260226T141609_006528_00D283_0C6E.SAFE,2026-02-26T14:15:44.282000Z,2026-02-26T14:16:09.280000Z,2026-02-26,-1.406,hormuz_core;jask_oil_terminal,1696995355,1.58,True,IW_GRDH_1S,LEVEL1,C,ASCENDING,57,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/26/S1C_IW_GRDH_1SDV_20260226T141544_20260226T141609_006528_00D283_0C6E.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(9f63a7fd-2d04-45c1-a50a-6bc9b60ca473)/$value,839d74c240702daf06e921af9ffa9d0f
S1 R057 central-east repeat-track pre/near-anchor/post,S1_GRD,2d1fbdfd-f705-4a49-8300-ca15bc8722da,S1C_IW_GRDH_1SDV_20260226T141609_20260226T141628_006528_00D283_E47A.SAFE,2026-02-26T14:16:09.282000Z,2026-02-26T14:16:28.935000Z,2026-02-26,-1.405,bandar_abbas_rajaee;hormuz_core,1334862801,1.243,True,IW_GRDH_1S,LEVEL1,C,ASCENDING,57,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/26/S1C_IW_GRDH_1SDV_20260226T141609_20260226T141628_006528_00D283_E47A.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(2d1fbdfd-f705-4a49-8300-ca15bc8722da)/$value,ba3c41785a24cab945d1b279a59f7069
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,88c56f92-a598-4355-8502-3179acb185bc,S1A_IW_GRDH_1SDV_20260228T021444_20260228T021509_063413_07F746_3507.SAFE,2026-02-28T02:14:44.479846Z,2026-02-28T02:15:09.478358Z,2026-02-28,0.094,bandar_abbas_rajaee;hormuz_core,1728951003,1.61,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/28/S1A_IW_GRDH_1SDV_20260228T021444_20260228T021509_063413_07F746_3507.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(88c56f92-a598-4355-8502-3179acb185bc)/$value,6a577a1bf197c526f24921c09b348b04
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,6c10163e-5802-488d-ae2d-5654707e36dd,S1A_IW_GRDH_1SDV_20260228T021509_20260228T021534_063413_07F746_A83A.SAFE,2026-02-28T02:15:09.479839Z,2026-02-28T02:15:34.478350Z,2026-02-28,0.094,bandar_abbas_rajaee;hormuz_core;sirri_island,1728554768,1.61,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/28/S1A_IW_GRDH_1SDV_20260228T021509_20260228T021534_063413_07F746_A83A.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(6c10163e-5802-488d-ae2d-5654707e36dd)/$value,6aac1455ad8027509e0980ef3cf75fc7
S1 R166 west-central repeat-track pre/anchor/post,S1_GRD,fea6b058-87ed-4808-ae02-330f5add08f9,S1A_IW_GRDH_1SDV_20260228T021534_20260228T021557_063413_07F746_7A91.SAFE,2026-02-28T02:15:34.479862Z,2026-02-28T02:15:57.807919Z,2026-02-28,0.094,hormuz_core;sirri_island,1612735359,1.502,True,IW_GRDH_1S,LEVEL1,A,DESCENDING,166,VV&VH,,,/eodata/Sentinel-1/SAR/IW_GRDH_1S/2026/02/28/S1A_IW_GRDH_1SDV_20260228T021534_20260228T021557_063413_07F746_7A91.SAFE,https://download.dataspace.copernicus.eu/odata/v1/Products(fea6b058-87ed-4808-ae02-330f5add08f9)/$value,2a6eefb26f47068c44ea9a41321b9891
