observed_date,n_total,n_tanker,n_cargo,capacity,capacity_tanker,capacity_cargo
2026-01-26,43,19,24,1789952,1238981,550971
2026-01-27,61,30,31,1723064,1253238,469825
2026-01-28,54,28,26,1713078,1214507,498571
2026-01-29,72,41,31,2316681,1593036,723645
2026-01-30,71,39,32,2475446,1648687,826758
2026-01-31,70,40,30,3011406,1652157,1359248
2026-02-01,49,19,30,1646216,1035130,611086
2026-02-02,67,41,26,3449459,2714863,734596
2026-02-03,66,33,33,2028119,1211012,817107
2026-02-04,43,20,23,1481118,986199,494918
2026-02-05,71,36,35,2679244,1814047,865196
2026-02-06,60,34,26,1694325,1050896,643428
2026-02-07,60,40,20,2748142,2323504,424638
2026-02-08,58,32,26,1605017,1066129,538887
2026-02-09,53,33,20,1763162,999250,763911
2026-02-10,65,39,26,3290551,2479703,810848
2026-02-11,81,49,32,2028460,1444919,583541
2026-02-12,68,32,36,2682780,1916098,766682
2026-02-13,103,54,49,3755606,2415490,1340115
