"date","year","month","day","portid","portname","n_container","n_dry_bulk","n_general_cargo","n_roro","n_tanker","n_cargo","n_total","capacity_container","capacity_dry_bulk","capacity_general_cargo","capacity_roro","capacity_tanker","capacity_cargo","capacity","ObjectId"
"2026-02-14","2026","2","14","chokepoint6","Strait of Hormuz","17","16","4","1","53","38","91","422994","608871","10248","3793","2559173","1045907","3605080","16857"
"2026-02-15","2026","2","15","chokepoint6","Strait of Hormuz","9","17","4","2","40","32","72","445309","707030","14550","4388","1157354","1171279","2328634","16858"
"2026-02-16","2026","2","16","chokepoint6","Strait of Hormuz","6","3","4","1","27","14","41","147998","84874","31566","4621","1381731","269061","1650792","16859"
"2026-02-17","2026","2","17","chokepoint6","Strait of Hormuz","14","11","4","4","37","33","70","460295","522343","13122","2855","1902017","998617","2900635","16860"
"2026-02-18","2026","2","18","chokepoint6","Strait of Hormuz","13","14","5","4","36","36","72","269795","647892","23948","3852","1799200","945487","2744688","16861"
"2026-02-19","2026","2","19","chokepoint6","Strait of Hormuz","18","17","3","2","48","40","88","547126","837075","9035","2371","2755888","1395608","4151497","16862"
"2026-02-20","2026","2","20","chokepoint6","Strait of Hormuz","17","11","5","2","53","35","88","409173","520451","35802","0","2903719","965427","3869147","16863"
"2026-02-21","2026","2","21","chokepoint6","Strait of Hormuz","8","17","2","2","50","29","79","181766","409477","18090","5308","1816744","614642","2431386","16864"
"2026-02-22","2026","2","22","chokepoint6","Strait of Hormuz","31","19","4","3","68","57","125","798917","850492","5544","8078","3572104","1663032","5235136","16865"
"2026-02-23","2026","2","23","chokepoint6","Strait of Hormuz","7","12","5","6","58","30","88","169818","360349","20272","7511","1893516","557952","2451468","16866"
"2026-02-24","2026","2","24","chokepoint6","Strait of Hormuz","8","9","1","4","20","22","42","341256","318965","3483","10224","1418323","673929","2092252","16867"
"2026-02-25","2026","2","25","chokepoint6","Strait of Hormuz","30","16","6","3","57","55","112","767619","570581","39139","0","4168541","1377339","5545881","16868"
"2026-02-26","2026","2","26","chokepoint6","Strait of Hormuz","15","12","12","3","44","42","86","380979","474150","59358","0","909158","914488","1823647","16869"
"2026-02-27","2026","2","27","chokepoint6","Strait of Hormuz","5","12","5","1","30","23","53","210575","407086","7811","0","581713","625473","1207186","16870"
"2026-02-28","2026","2","28","chokepoint6","Strait of Hormuz","5","10","2","1","33","18","51","101722","178450","16038","3493","2539454","299704","2839159","16871"
"2026-03-01","2026","3","1","chokepoint6","Strait of Hormuz","3","7","3","0","5","13","18","64346","263770","13807","0","153007","341924","494931","16872"
"2026-03-02","2026","3","2","chokepoint6","Strait of Hormuz","0","3","0","0","1","3","4","0","61822","0","0","0","61822","61822","16873"
"2026-03-03","2026","3","3","chokepoint6","Strait of Hormuz","1","2","0","0","1","3","4","0","96964","0","0","6701","96964","103665","16874"
"2026-03-04","2026","3","4","chokepoint6","Strait of Hormuz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16875"
"2026-03-05","2026","3","5","chokepoint6","Strait of Hormuz","0","1","1","0","1","2","3","0","18130","5901","0","0","24031","24031","16876"
"2026-03-06","2026","3","6","chokepoint6","Strait of Hormuz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16877"
"2026-03-07","2026","3","7","chokepoint6","Strait of Hormuz","0","2","0","0","0","2","2","0","102414","0","0","0","102414","102414","16878"
"2026-03-08","2026","3","8","chokepoint6","Strait of Hormuz","0","1","0","0","0","1","1","0","51168","0","0","0","51168","51168","16879"
"2026-03-09","2026","3","9","chokepoint6","Strait of Hormuz","0","0","1","0","0","1","1","0","0","1599","0","0","1599","1599","16880"
"2026-03-10","2026","3","10","chokepoint6","Strait of Hormuz","0","1","0","0","1","1","2","0","0","0","0","42122","0","42122","16881"
"2026-03-11","2026","3","11","chokepoint6","Strait of Hormuz","0","1","0","0","0","1","1","0","43477","0","0","0","43477","43477","16882"
"2026-03-12","2026","3","12","chokepoint6","Strait of Hormuz","1","0","0","0","0","1","1","0","0","0","0","0","0","0","16883"
"2026-03-13","2026","3","13","chokepoint6","Strait of Hormuz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16884"
"2026-03-14","2026","3","14","chokepoint6","Strait of Hormuz","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16885"
